"","id","exp10","avg_samp"
"1",1,0,0.721739130434783
"2",2,1,0.491304347826087
"3",3,0,0.339130434782609
"4",4,0,3.19565217391304
"5",5,1,0.347826086956522
"6",6,0,0.421739130434783
"7",7,0,0.330434782608696
"8",8,0,0.495652173913044
"9",9,0,4.51739130434783
"10",10,0,0.295652173913043
"11",11,0,0.817391304347826
"12",12,0,0.252173913043478
"13",13,0,0.473913043478261
"14",14,0,0.134782608695652
"15",15,0,0.543478260869565
"16",16,0,0.578260869565217
"17",17,0,0.0434782608695652
"18",18,0,0.930434782608696
"19",19,0,2.80434782608696
"20",20,0,0.430434782608696
"21",21,0,0.0434782608695652
"22",22,0,1.6695652173913
"23",23,0,0.765217391304348
"24",24,1,0.0826086956521739
"25",25,1,0.108695652173913
"26",26,0,0.091304347826087
"27",27,0,0.178260869565217
"28",28,0,0.217391304347826
"29",29,0,0.852173913043478
"30",30,0,0.795652173913044
"31",31,0,0.760869565217391
"32",32,0,0.565217391304348
"33",33,0,2.51304347826087
"34",34,1,0.182608695652174
"35",35,0,0.417391304347826
"36",36,0,0.152173913043478
"37",37,0,0.18695652173913
"38",38,0,0.121739130434783
"39",39,0,1.25217391304348
"40",40,0,0.0565217391304348
"41",41,1,2.1304347826087
"42",42,0,0.71304347826087
"43",43,0,0.252173913043478
"44",44,0,0.156521739130435
"45",45,0,0.0869565217391304
"46",46,0,0.0347826086956522
"47",47,0,0
"48",48,0,0.221739130434783
"49",49,0,0.521739130434783
"50",50,0,0.595652173913043
"51",51,0,0.126086956521739
"52",52,0,0.0739130434782609
"53",53,0,1.21304347826087
"54",54,0,0.230434782608696
"55",55,0,0.88695652173913
"56",56,0,0.869565217391304
"57",57,0,0.4
"58",58,0,0.469565217391304
"59",59,0,0.691304347826087
"60",60,0,0.0565217391304348
"61",61,0,1.02608695652174
"62",62,0,0.221739130434783
"63",63,0,1.37826086956522
"64",64,0,0.517391304347826
"65",65,0,0.621739130434783
"66",66,0,0.869565217391304
